date,rolling_average_cases_per_100k_centered,region
2020-08-20,12.36836343527624,Nationwide
2020-08-21,12.32227339928575,Nationwide
2020-08-22,12.221432404583233,Nationwide
2020-08-23,12.310087176360971,Nationwide
2020-08-24,12.403529392859165,Nationwide
2020-08-25,12.258339251155409,Nationwide
2020-08-26,12.216079170941276,Nationwide
2020-08-27,12.259514351223157,Nationwide
2020-08-28,12.189965836102472,Nationwide
2020-08-29,12.371714646580552,Nationwide
2020-08-30,12.1259881657474,Nationwide
2020-08-31,12.048126905703027,Nationwide
2020-09-01,12.153102511755026,Nationwide
2020-09-02,12.159630845464726,Nationwide
2020-09-03,12.029804049091137,Nationwide
2020-09-04,11.774502678817088,Nationwide
2020-09-05,10.973476132636751,Nationwide
2020-09-06,10.783196966111324,Nationwide
2020-09-07,10.529070695905023,Nationwide
2020-09-08,10.402246933037896,Nationwide
2020-09-09,10.234164101125454,Nationwide
2020-09-10,10.32033810609351,Nationwide
2020-09-11,10.649017947264602,Nationwide
2020-09-12,11.236480936688244,Nationwide
2020-09-13,11.527209397893609,Nationwide
2020-09-14,11.829949993124815,Nationwide
2020-09-15,11.91542764249717,Nationwide
2020-09-16,12.09256309715373,Nationwide
2020-09-17,12.063925473280507,Nationwide
2020-09-18,12.284974852690988,Nationwide
2020-09-19,12.87548439784583,Nationwide
2020-09-20,12.789049259529383,Nationwide
2020-09-21,12.770247658445443,Nationwide
2020-09-22,13.19184744941795,Nationwide
2020-09-23,13.300696533471037,Nationwide
2020-09-24,13.306659078259226,Nationwide
2020-09-25,13.198245216453456,Nationwide
2020-09-26,12.662225496662256,Nationwide
2020-09-27,12.932063289996572,Nationwide
2020-09-28,13.08482629880358,Nationwide
2020-09-29,12.749792212821715,Nationwide
2020-09-30,13.007748438804375,Nationwide
2020-10-01,13.12917544580482,Nationwide
2020-10-02,13.19123813827171,Nationwide
2020-10-03,13.412113428783268,Nationwide
2020-10-04,13.63964761967872,Nationwide
2020-10-05,14.066557122068447,Nationwide
2020-10-06,14.430533487496657,Nationwide
2020-10-07,14.438323965723566,Nationwide
2020-10-08,14.854657567503576,Nationwide
2020-10-09,15.24996993473835,Nationwide
2020-10-10,15.60006271047726,Nationwide
2020-10-11,15.880519926646024,Nationwide
2020-10-12,16.356827154105822,Nationwide
2020-10-13,16.826606047855922,Nationwide
2020-10-14,17.132480243267786,Nationwide
2020-10-15,17.317449698375988,Nationwide
2020-10-16,17.739745844944196,Nationwide
2020-10-17,18.057980352179765,Nationwide
2020-10-18,18.271805042284843,Nationwide
2020-10-19,18.616283451033407,Nationwide
2020-10-20,19.15439223761172,Nationwide
2020-10-21,19.664733844811423,Nationwide
2020-10-22,20.2740449910502,Nationwide
2020-10-23,20.95242590793762,Nationwide
2020-10-24,21.46833835990294,Nationwide
2020-10-25,22.32698833162757,Nationwide
2020-10-26,22.895823808866204,Nationwide
2020-10-27,23.595791749220368,Nationwide
2020-10-28,24.134727458068568,Nationwide
2020-10-29,27.596485213199458,Nationwide
2020-10-30,28.493217131564013,Nationwide
2020-10-31,29.70935865723189,Nationwide
2020-11-01,30.970284552148303,Nationwide
2020-11-02,32.868375817131565,Nationwide
2020-11-03,34.30774283344649,Nationwide
2020-11-04,35.61985086464697,Nationwide
2020-11-05,34.07324508659402,Nationwide
2020-11-06,35.812393186858415,Nationwide
2020-11-07,37.87713105033798,Nationwide
2020-11-08,39.792108938517,Nationwide
2020-11-09,40.59896746281134,Nationwide
2020-11-10,42.67702312705869,Nationwide
2020-11-11,45.07048435393408,Nationwide
2020-11-12,46.30007424704394,Nationwide
2020-11-13,47.239066245622624,Nationwide
2020-11-14,47.70832287267594,Nationwide
2020-11-15,48.262404315730656,Nationwide
2020-11-16,50.218119006258206,Nationwide
2020-11-17,50.52442842391739,Nationwide
2020-11-18,51.98982173062166,Nationwide
2020-11-19,52.10437222611455,Nationwide
2020-11-20,53.0455403359298,Nationwide
2020-11-21,53.9791355786418,Nationwide
2020-11-22,54.746388878430615,Nationwide
2020-11-23,51.70335844743996,Nationwide
2020-11-24,51.80137049753494,Nationwide
2020-11-25,50.4463930749741,Nationwide
2020-11-26,49.86911428613759,Nationwide
2020-11-27,49.04045112725285,Nationwide
2020-11-28,50.16906945898599,Nationwide
