sampling_week,normalized_concentration_rolling_average,population,region
2020-05-06,252.6841411138134,"2,000,000-5,000,000",Northeast
2020-05-13,175.852074670672,"2,000,000-5,000,000",Northeast
2020-05-20,143.25930141683588,"5,000,000-10,000,000",Northeast
2020-05-27,81.64791344054386,"5,000,000-10,000,000",Northeast
2020-06-03,77.00049569187752,"5,000,000-10,000,000",Northeast
2020-06-10,69.37545868786749,"5,000,000-10,000,000",Northeast
2020-06-17,53.99790108686124,"5,000,000-10,000,000",Northeast
2020-06-24,39.69121845475305,"5,000,000-10,000,000",Northeast
2020-07-01,38.41109068798119,"5,000,000-10,000,000",Northeast
2020-07-08,47.546271932345725,"5,000,000-10,000,000",Northeast
2020-07-15,45.60419459983373,"5,000,000-10,000,000",Northeast
2020-07-22,49.95000355197144,"5,000,000-10,000,000",Northeast
2020-07-29,62.3379891468823,"2,000,000-5,000,000",Northeast
2020-08-05,64.13052397095596,"2,000,000-5,000,000",Northeast
2020-08-12,56.73984363643219,"2,000,000-5,000,000",Northeast
2020-08-19,40.74545619804726,"2,000,000-5,000,000",Northeast
2020-08-26,50.233656145475,"2,000,000-5,000,000",Northeast
2020-09-02,56.38316139917964,"2,000,000-5,000,000",Northeast
2020-09-09,59.86069826589206,"2,000,000-5,000,000",Northeast
2020-09-16,55.09186702987924,"2,000,000-5,000,000",Northeast
2020-09-23,56.00253987187416,"2,000,000-5,000,000",Northeast
2020-09-30,57.817865345757326,"2,000,000-5,000,000",Northeast
2020-10-07,67.64185599900976,"2,000,000-5,000,000",Northeast
2020-10-14,82.75072853141462,"2,000,000-5,000,000",Northeast
2020-10-21,105.87377441102052,"2,000,000-5,000,000",Northeast
2020-10-28,141.37683884184142,"2,000,000-5,000,000",Northeast
2020-11-04,235.36322927122976,"2,000,000-5,000,000",Northeast
2020-11-11,357.63469627382784,"2,000,000-5,000,000",Northeast
2020-11-18,496.9801711070922,"2,000,000-5,000,000",Northeast
2020-11-25,672.927955159274,"2,000,000-5,000,000",Northeast
2020-12-02,835.5129060055839,"2,000,000-5,000,000",Northeast
2020-12-09,960.7122027268108,"2,000,000-5,000,000",Northeast
2020-12-16,954.6420699899176,"2,000,000-5,000,000",Northeast
2020-12-23,920.1818347778112,"2,000,000-5,000,000",Northeast
2020-12-30,929.5777432117716,"2,000,000-5,000,000",Northeast
2021-01-06,915.169115897256,"2,000,000-5,000,000",Northeast
2021-01-13,855.8486019958445,"2,000,000-5,000,000",Northeast
2021-01-20,705.2439773257521,"2,000,000-5,000,000",Northeast
2021-01-27,550.2538737182168,"2,000,000-5,000,000",Northeast
2021-02-03,412.0711619420426,"2,000,000-5,000,000",Northeast
2021-02-10,324.2387498346543,"2,000,000-5,000,000",Northeast
2021-02-17,282.7084378923652,"2,000,000-5,000,000",Northeast
2021-02-24,277.4512735425917,"2,000,000-5,000,000",Northeast
2021-03-03,241.37729267456567,"2,000,000-5,000,000",Northeast
2021-03-10,237.8255004295086,"2,000,000-5,000,000",Northeast
2021-03-17,233.5415693976529,"2,000,000-5,000,000",Northeast
2021-03-24,266.3204933958319,"2,000,000-5,000,000",Northeast
2021-03-31,272.8697963272864,"2,000,000-5,000,000",Northeast
2021-04-07,266.65332815567103,"2,000,000-5,000,000",Northeast
2021-04-14,225.47822207575183,"2,000,000-5,000,000",Northeast
2021-04-21,182.7904248588758,"2,000,000-5,000,000",Northeast
2021-04-28,135.7992964583731,"2,000,000-5,000,000",Northeast
2021-05-05,109.28948013801596,"2,000,000-5,000,000",Northeast
2021-05-12,81.83377174713515,"2,000,000-5,000,000",Northeast
2021-05-19,61.76718293417296,"2,000,000-5,000,000",Northeast
2021-05-26,40.991311373651655,"2,000,000-5,000,000",Northeast
2021-06-02,36.94052788818727,"2,000,000-5,000,000",Northeast
2021-06-09,32.52199472696535,"2,000,000-5,000,000",Northeast
2021-06-16,33.2250587803589,"5,000,000-10,000,000",Northeast
2021-06-23,30.0124437265398,"5,000,000-10,000,000",Northeast
2021-06-30,31.39567516635797,"5,000,000-10,000,000",Northeast
2021-07-07,36.4797574416579,"5,000,000-10,000,000",Northeast
2021-07-14,51.62754328548119,"5,000,000-10,000,000",Northeast
2021-07-21,93.7849119643516,"5,000,000-10,000,000",Northeast
2021-07-28,146.36026894664238,"5,000,000-10,000,000",Northeast
2021-08-04,206.45357145798667,"5,000,000-10,000,000",Northeast
2021-08-11,229.61046187383704,"5,000,000-10,000,000",Northeast
2021-08-18,277.5003487419622,"5,000,000-10,000,000",Northeast
2021-08-25,311.79235253189626,"2,000,000-5,000,000",Northeast
2021-09-01,321.1045778983559,"2,000,000-5,000,000",Northeast
2021-09-08,322.5193978211047,"2,000,000-5,000,000",Northeast
2021-09-15,304.20115363086205,"2,000,000-5,000,000",Northeast
2021-09-22,383.8889348896034,"2,000,000-5,000,000",Northeast
2021-09-29,460.6530785771452,"2,000,000-5,000,000",Northeast
2021-10-06,504.397456078289,"2,000,000-5,000,000",Northeast
2021-10-13,460.71724535542535,"2,000,000-5,000,000",Northeast
2021-10-20,401.7556963572637,"2,000,000-5,000,000",Northeast
2020-03-04,,"1,000,000-2,000,000",South
2020-03-25,94.07391846285402,"1,000,000-2,000,000",South
2020-04-01,87.14218040253945,"2,000,000-5,000,000",South
2020-04-08,104.28346441511196,"2,000,000-5,000,000",South
2020-04-15,144.43178715387154,"2,000,000-5,000,000",South
2020-04-22,162.17749973555615,"1,000,000-2,000,000",South
2020-04-29,227.63900852622865,"2,000,000-5,000,000",South
2020-05-06,197.30377270521453,"2,000,000-5,000,000",South
2020-05-13,173.71861743923043,"2,000,000-5,000,000",South
2020-05-20,135.22245043152245,"2,000,000-5,000,000",South
2020-05-27,121.97050194529588,"2,000,000-5,000,000",South
2020-06-03,179.58366146167168,"2,000,000-5,000,000",South
2020-06-10,197.1363019873113,"2,000,000-5,000,000",South
2020-06-17,196.6410671263087,"2,000,000-5,000,000",South
2020-06-24,293.3333727026955,"2,000,000-5,000,000",South
2020-07-01,346.26007682068445,"2,000,000-5,000,000",South
2020-07-08,539.2481240198513,"2,000,000-5,000,000",South
2020-07-15,462.9286043674648,"2,000,000-5,000,000",South
2020-07-22,465.11682467643686,"2,000,000-5,000,000",South
2020-07-29,329.10825272722303,"2,000,000-5,000,000",South
2020-08-05,291.0959900273044,"2,000,000-5,000,000",South
2020-08-12,220.6193910771416,"2,000,000-5,000,000",South
2020-08-19,168.66895997454446,"2,000,000-5,000,000",South
2020-08-26,154.1988510979523,"2,000,000-5,000,000",South
2020-09-02,122.29395603754732,"2,000,000-5,000,000",South
2020-09-09,89.74041996519088,"2,000,000-5,000,000",South
2020-09-16,68.20733780347767,"2,000,000-5,000,000",South
2020-09-23,63.85047815031433,"2,000,000-5,000,000",South
2020-09-30,74.4797150508224,"2,000,000-5,000,000",South
2020-10-07,98.98087315623744,"2,000,000-5,000,000",South
2020-10-14,131.89965501842013,"2,000,000-5,000,000",South
2020-10-21,143.03913955867333,"2,000,000-5,000,000",South
2020-10-28,163.96900975879498,"2,000,000-5,000,000",South
2020-11-04,231.08489614763872,"2,000,000-5,000,000",South
2020-11-11,346.86380933361374,"2,000,000-5,000,000",South
2020-11-18,515.17912804831,"2,000,000-5,000,000",South
2020-11-25,547.6529885794608,"2,000,000-5,000,000",South
2020-12-02,586.2955180837051,"2,000,000-5,000,000",South
2020-12-09,530.4735918051599,"2,000,000-5,000,000",South
2020-12-16,629.5204461329041,"2,000,000-5,000,000",South
2020-12-23,582.4528479627212,"2,000,000-5,000,000",South
2020-12-30,705.5915094448992,"2,000,000-5,000,000",South
2021-01-06,668.7518843301647,"2,000,000-5,000,000",South
2021-01-13,684.9724894600922,"2,000,000-5,000,000",South
2021-01-20,490.73544834428776,"2,000,000-5,000,000",South
2021-01-27,372.3418098477254,"2,000,000-5,000,000",South
2021-02-03,269.2613943803974,"2,000,000-5,000,000",South
2021-02-10,201.1903308129177,"2,000,000-5,000,000",South
2021-02-17,153.15612711717213,"2,000,000-5,000,000",South
2021-02-24,154.41178419367947,"2,000,000-5,000,000",South
2021-03-03,187.6772006521501,"2,000,000-5,000,000",South
2021-03-10,173.76247017534254,"2,000,000-5,000,000",South
2021-03-17,158.55545150450666,"2,000,000-5,000,000",South
2021-03-24,142.22337241911268,"2,000,000-5,000,000",South
2021-03-31,168.65894688409116,"2,000,000-5,000,000",South
2021-04-07,170.33210232274106,"2,000,000-5,000,000",South
2021-04-14,153.49124592718312,"2,000,000-5,000,000",South
2021-04-21,128.2062877707381,"2,000,000-5,000,000",South
2021-04-28,99.16197860797212,"2,000,000-5,000,000",South
2021-05-05,76.48120487750532,"2,000,000-5,000,000",South
2021-05-12,57.97427686317639,"2,000,000-5,000,000",South
2021-05-19,46.76200886780152,"2,000,000-5,000,000",South
2021-05-26,39.23530859875978,"2,000,000-5,000,000",South
2021-06-02,44.22113278674874,"2,000,000-5,000,000",South
2021-06-09,54.57425904747856,"2,000,000-5,000,000",South
2021-06-16,67.78859504505118,"2,000,000-5,000,000",South
2021-06-23,64.48929041126821,"2,000,000-5,000,000",South
2021-06-30,76.31137842462564,"2,000,000-5,000,000",South
2021-07-07,108.01382957162478,"2,000,000-5,000,000",South
2021-07-14,182.0604968160632,"2,000,000-5,000,000",South
2021-07-21,324.4020926257734,"2,000,000-5,000,000",South
2021-07-28,487.98814096364384,"2,000,000-5,000,000",South
2021-08-04,669.7096313559745,"2,000,000-5,000,000",South
2021-08-11,754.9746133892569,"2,000,000-5,000,000",South
2021-08-18,905.5938901242562,"2,000,000-5,000,000",South
2021-08-25,1062.3120237181604,"2,000,000-5,000,000",South
